Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Self_Employed_No,Self_Employed_Yes,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,CoapplicantIncome,Loan_Status
0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,2071,94,480,1,754,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,5316,136,360,1,0,Y
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,2929,139,360,1,2333,Y
0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,3572,152,350,0,4114,N
1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,7451,136,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,5050,118,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,14583,185,180,1,0,Y
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3167,154,360,1,2283,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,2214,85,360,0,1398,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,5568,175,360,1,2142,N
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,10408,259,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,5667,180,360,1,2667,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4166,44,360,1,0,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2137,137,360,0,8980,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2957,81,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,4300,194,360,1,2014,Y
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,3692,93,360,0,0,Y
0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,23803,370,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,3865,136,360,1,1640,Y
0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,10513,160,180,0,3850,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,6080,182,360,0,2569,N
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,20166,650,480,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2014,74,360,1,1929,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2718,70,360,1,0,Y
0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,3459,25,120,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,4895,102,360,1,0,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,4000,290,360,1,7750,N
1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,4583,84,360,1,0,N
0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,3316,88,360,1,3500,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,14999,242,360,0,0,N
0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,4200,129,360,1,1430,N
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,5042,185,360,1,2083,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,5417,168,360,1,0,Y
0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,6950,175,180,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2698,122,360,1,2034,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,11757,187,180,1,0,Y
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,2330,100,360,1,4486,Y
1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,14866,70,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1538,30,360,1,1425,Y
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,10000,225,360,1,1666,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4860,125,360,1,830,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,6277,118,360,0,0,N
0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,2577,152,360,1,3750,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,9166,244,360,1,0,N
0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,2281,113,360,1,0,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3254,50,360,1,0,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,39999,600,180,0,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,6000,160,360,0,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,9538,187,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,2980,120,360,1,2083,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4583,255,360,1,5625,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1863,98,360,1,1041,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,7933,275,360,1,0,N
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3089,121,360,0,1280,N
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,4167,158,360,1,1447,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,9323,75,180,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3707,182,310,1,3166,Y
1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,4583,112,360,1,0,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,2439,129,360,1,3333,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2237,63,480,0,0,N
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,8000,200,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1820,95,360,1,1769,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,51763,700,300,1,0,Y
0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,3522,81,180,1,0,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,5708,187,360,1,5625,Y
0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,4344,87,360,1,736,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3497,116,360,1,1964,Y
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,2045,101,360,1,1619,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,5516,495,360,0,11300,N
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3750,116,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,2333,102,480,0,1451,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,6400,180,360,0,7250,N
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1916,67,360,0,5063,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4600,73,180,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,33846,260,360,1,0,N
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3625,108,360,1,0,Y
0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,39147,120,360,1,4750,Y
0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,2178,66,300,0,0,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,2383,58,360,0,2138,Y
0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,674,168,360,1,5296,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,9328,188,180,1,0,Y
0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,4885,48,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,12000,164,360,1,0,N
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,6033,160,360,1,0,N
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,3858,76,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,4191,120,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3125,170,360,1,2583,N
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,8333,187,360,1,3750,Y
1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1907,120,330,1,2365,Y
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3416,113,360,0,2816,Y
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,11000,83,360,1,0,N
0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,2600,90,360,1,2500,Y
0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,4923,166,360,0,0,Y
0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,3992,113,180,1,0,N
0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,3500,135,360,1,1083,Y
0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,3917,124,360,1,0,Y
1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,4408,120,360,1,0,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3244,80,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,3975,55,360,1,2531,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2479,59,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,3418,127,360,1,0,N
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,10000,214,360,1,0,N
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3430,128,360,0,1250,N
0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,7787,240,360,1,0,Y
0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,5703,130,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3173,137,360,1,3021,Y
0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,3850,100,360,1,983,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,150,135,360,1,1800,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3727,131,360,1,1775,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,5000,72,360,0,0,N
1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,4283,127,360,0,2383,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2221,60,360,0,0,N
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,4009,116,360,1,1717,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2971,144,360,1,2791,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,7578,175,310,1,1010,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,6250,128,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3250,170,360,1,0,N
0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,4735,138,360,1,0,N
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,6250,210,360,1,1695,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4758,158,480,1,0,Y
0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,6400,200,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2491,104,360,1,2054,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3716,42,180,1,0,Y
0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,3189,120,330,1,2598,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,8333,280,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3155,140,360,1,1779,Y
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,5500,170,360,1,1260,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,5746,255,360,0,0,N
1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,3463,122,360,0,0,Y
1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,3812,112,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3315,96,360,1,0,Y
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,5819,120,360,1,5000,Y
0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,2510,140,180,1,1983,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,2965,155,60,1,5701,Y
0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,6250,108,360,1,1300,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,3406,123,360,1,4417,Y
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,6050,120,180,1,4333,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,9703,112,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,6608,137,180,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2882,123,480,1,1843,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1809,90,360,1,1868,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1668,201,360,0,3890,N
1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,3427,138,360,1,0,N
0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,2583,104,360,1,2167,Y
0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,2661,279,180,1,7101,Y
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,16250,192,360,0,0,N
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,3083,255,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,6045,115,360,0,0,N
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,5250,94,360,1,0,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,14683,304,360,1,2100,N
0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,4931,128,360,1,0,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,6083,330,360,0,4250,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2060,134,360,1,2209,Y
1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,3481,155,36,1,0,N
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,7200,120,360,1,0,Y
0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,5166,128,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,4095,151,360,1,3447,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,4708,150,360,1,1387,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,4333,160,360,0,1811,Y
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,3418,135,360,1,0,N
1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,2876,90,360,1,1560,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3237,30,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,11146,136,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,2833,126,360,1,1857,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2620,150,360,1,2223,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,3900,90,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2750,115,360,1,1842,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3993,207,360,1,3274,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3103,80,360,1,1300,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,14583,436,360,1,0,Y
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,4100,124,360,0,0,Y
0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,4053,158,360,0,2426,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3927,112,360,1,800,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,2301,78,180,1,985,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1811,54,360,1,1666,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,20667,136,360,1,0,N
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,3158,89,360,1,3053,Y
1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,2600,99,300,1,1717,N
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3704,120,360,1,2000,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4124,115,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,9508,187,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3075,139,360,1,2416,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,4400,127,360,0,0,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3153,134,360,1,1560,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,5417,143,480,0,0,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2383,172,360,1,3334,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,4416,110,360,1,1250,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,6875,200,360,1,0,Y
1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,4666,135,360,1,0,Y
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,5000,151,480,1,2541,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,2014,113,360,1,2925,N
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1800,93,360,0,2934,N
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,2875,105,360,1,1750,Y
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,5000,132,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1625,96,360,1,1803,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,4000,140,360,1,2500,Y
0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,2000,136,360,1,0,N
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,3762,135,360,1,1666,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,2400,104,360,0,1863,N
